Category,UNICEF Region,UNICEF Region Name,Indicator,Stratifier,Level,2006-2012,2013-2019
UNICEF Reporting Sub-Region,MENA,MiddleÿEastÿandÿNorthÿAfrica,ORS,Area,Rural,29.5,27.2
UNICEF Reporting Sub-Region,MENA,MiddleÿEastÿandÿNorthÿAfrica,ORTCF,Area,Rural,28.2,19.4
UNICEF Reporting Sub-Region,MENA,MiddleÿEastÿandÿNorthÿAfrica,PNEUCARE,Area,Rural,61.9,59.8
UNICEF Reporting Region,SA,SouthÿAsia,DIARCARE,National,National,54.7,63.9
UNICEF Reporting Region,SA,SouthÿAsia,DIARCARE,Area,Urban,61,68.5
UNICEF Reporting Region,SA,SouthÿAsia,DIARCARE,Area,Rural,52.5,61.9
UNICEF Reporting Region,SA,SouthÿAsia,DIARCARE,Sex,Female,52.8,62.2
UNICEF Reporting Region,SA,SouthÿAsia,DIARCARE,Sex,Male,56.4,65
UNICEF Reporting Region,SA,SouthÿAsia,DIARCARE,WIQ,Poorest,45.7,55.8
UNICEF Reporting Region,SA,SouthÿAsia,DIARCARE,WIQ,Second,51,60.6
UNICEF Reporting Region,SA,SouthÿAsia,DIARCARE,WIQ,Middle,54.6,66.9
UNICEF Reporting Region,SA,SouthÿAsia,DIARCARE,WIQ,Fourth,59,68.5
UNICEF Reporting Region,SA,SouthÿAsia,DIARCARE,WIQ,Richest,68.6,73.5
UNICEF Reporting Region,SA,SouthÿAsia,DIARCARE,Mother's Education,None,49.4,59
UNICEF Reporting Region,SA,SouthÿAsia,DIARCARE,Mother's Education,Primary,56.4,61.4
UNICEF Reporting Region,SA,SouthÿAsia,MLRACT,National,National,5.6,8.5
UNICEF Reporting Region,SA,SouthÿAsia,MLRACT,Area,Urban,4.8,13.7
UNICEF Reporting Region,SA,SouthÿAsia,MLRACT,Area,Rural,6,6.5
UNICEF Reporting Region,SA,SouthÿAsia,MLRACT,Sex,Female,5.6,9.8
UNICEF Reporting Region,SA,SouthÿAsia,MLRACT,Sex,Male,5.6,7.3
UNICEF Reporting Region,SA,SouthÿAsia,MLRACT,WIQ,Poorest,4.5,6
UNICEF Reporting Region,SA,SouthÿAsia,MLRACT,WIQ,Second,6.4,8.3
UNICEF Reporting Region,SA,SouthÿAsia,MLRACT,WIQ,Middle,6.7,5.6
UNICEF Reporting Region,SA,SouthÿAsia,MLRACT,WIQ,Fourth,6.1,11.2
UNICEF Reporting Region,SA,SouthÿAsia,MLRACT,WIQ,Richest,4.4,13.2
UNICEF Reporting Region,SA,SouthÿAsia,MLRCARE,National,National,66.4,71.5
UNICEF Reporting Region,SA,SouthÿAsia,MLRCARE,Area,Urban,74.4,78.2
UNICEF Reporting Region,SA,SouthÿAsia,MLRCARE,Area,Rural,63.9,69.4
UNICEF Reporting Region,SA,SouthÿAsia,MLRCARE,Sex,Female,63.8,70.4
UNICEF Reporting Region,SA,SouthÿAsia,MLRCARE,Sex,Male,68.5,72.6
UNICEF Reporting Region,SA,SouthÿAsia,MLRCARE,WIQ,Poorest,59,62.3
UNICEF Reporting Region,SA,SouthÿAsia,MLRCARE,WIQ,Second,62.4,68.3
UNICEF Reporting Region,SA,SouthÿAsia,MLRCARE,WIQ,Middle,67.6,73.5
UNICEF Reporting Region,SA,SouthÿAsia,MLRCARE,WIQ,Fourth,70.6,78.3
UNICEF Reporting Region,SA,SouthÿAsia,MLRCARE,WIQ,Richest,78.5,81.3
UNICEF Reporting Region,SA,SouthÿAsia,ORS,National,National,33.8,49.8
UNICEF Reporting Region,SA,SouthÿAsia,ORS,Area,Urban,39.6,55.4
UNICEF Reporting Region,SA,SouthÿAsia,ORS,Area,Rural,31.6,47.7
UNICEF Reporting Region,SA,SouthÿAsia,ORS,Sex,Female,33.1,48.9
UNICEF Reporting Region,SA,SouthÿAsia,ORS,Sex,Male,34.3,50.4
UNICEF Reporting Region,SA,SouthÿAsia,ORS,WIQ,Poorest,28.8,45.4
UNICEF Reporting Region,SA,SouthÿAsia,ORS,WIQ,Second,28.9,47.5
UNICEF Reporting Region,SA,SouthÿAsia,ORS,WIQ,Middle,32.9,49.7
UNICEF Reporting Region,SA,SouthÿAsia,ORS,WIQ,Fourth,36.4,54.4
UNICEF Reporting Region,SA,SouthÿAsia,ORS,WIQ,Richest,46.7,57.3
UNICEF Reporting Region,SA,SouthÿAsia,ORSZINC,National,National,2.3,17.1
UNICEF Reporting Region,SA,SouthÿAsia,ORSZINC,Area,Urban,3.1,20.2
UNICEF Reporting Region,SA,SouthÿAsia,ORSZINC,Area,Rural,2,16
UNICEF Reporting Region,SA,SouthÿAsia,ORSZINC,Sex,Female,2.4,17
UNICEF Reporting Region,SA,SouthÿAsia,ORSZINC,Sex,Male,2.2,17.2
UNICEF Reporting Region,SA,SouthÿAsia,ORSZINC,WIQ,Middle,3.2,17.1
UNICEF Reporting Region,SA,SouthÿAsia,ORSZINC,WIQ,Richest,3.8,21.3
UNICEF Reporting Region,SA,SouthÿAsia,ORTCF,National,National,38,41
UNICEF Reporting Region,SA,SouthÿAsia,ORTCF,Area,Urban,42.1,44.4
UNICEF Reporting Region,SA,SouthÿAsia,ORTCF,Area,Rural,36.1,39.6
UNICEF Reporting Region,SA,SouthÿAsia,ORTCF,WIQ,Poorest,34.5,37.7
UNICEF Reporting Region,SA,SouthÿAsia,ORTCF,WIQ,Second,35.1,38.9
UNICEF Reporting Region,SA,SouthÿAsia,ORTCF,WIQ,Middle,35.2,40.5
UNICEF Reporting Region,SA,SouthÿAsia,ORTCF,WIQ,Fourth,39.7,44.4
UNICEF Reporting Region,SA,SouthÿAsia,ORTCF,WIQ,Richest,47.8,46.3
UNICEF Reporting Region,SA,SouthÿAsia,PNEUCARE,National,National,65.4,75.9
UNICEF Reporting Region,SA,SouthÿAsia,PNEUCARE,Area,Urban,75.7,83.6
UNICEF Reporting Region,SA,SouthÿAsia,PNEUCARE,Area,Rural,62.3,73.6
UNICEF Reporting Region,SA,SouthÿAsia,PNEUCARE,Sex,Female,62.2,73.9
UNICEF Reporting Region,SA,SouthÿAsia,PNEUCARE,Sex,Male,67.9,77.5
UNICEF Reporting Region,SA,SouthÿAsia,PNEUCARE,WIQ,Poorest,56.5,65.8
UNICEF Reporting Region,SA,SouthÿAsia,PNEUCARE,WIQ,Second,62.6,72.8
UNICEF Reporting Region,SA,SouthÿAsia,PNEUCARE,WIQ,Middle,65.3,77.5
UNICEF Reporting Region,SA,SouthÿAsia,PNEUCARE,WIQ,Fourth,73,81.8
UNICEF Reporting Region,SA,SouthÿAsia,PNEUCARE,WIQ,Richest,78.6,87.6
UNICEF Reporting Region,SA,SouthÿAsia,ZINC,National,National,4.7,23.3
UNICEF Reporting Region,SA,SouthÿAsia,ZINC,Area,Urban,6.4,26.4
UNICEF Reporting Region,SA,SouthÿAsia,ZINC,Area,Rural,4.3,22.3
UNICEF Reporting Region,SA,SouthÿAsia,ZINC,Sex,Female,4.5,22.8
UNICEF Reporting Region,SA,SouthÿAsia,ZINC,Sex,Male,4.8,23.7
UNICEF Reporting Region,SA,SouthÿAsia,ZINC,WIQ,Second,5,21.9
UNICEF Reporting Region,SA,SouthÿAsia,ZINC,WIQ,Middle,5.1,24.1
UNICEF Reporting Region,SA,SouthÿAsia,ZINC,WIQ,Fourth,4.8,25.3
UNICEF Reporting Region,SA,SouthÿAsia,ZINC,WIQ,Richest,6,27.9
UNICEF Reporting Region,SA,SouthÿAsia,ZINC,Mother's Education,None,4.1,20.3
UNICEF Reporting Region,SA,SouthÿAsia,ZINC,Mother's Education,Primary,4.9,21.4
UNICEF Reporting Region,SA,SouthÿAsia,ZINC,Mother's Education,Sec & higher,5.6,23.8
UNICEF Reporting Sub-Region,SA,SouthÿAsia,DIARCARE,National,National,54.7,63.9
UNICEF Reporting Sub-Region,SA,SouthÿAsia,DIARCARE,Area,Urban,61,68.5
UNICEF Reporting Sub-Region,SA,SouthÿAsia,DIARCARE,Area,Rural,52.5,61.9
UNICEF Reporting Sub-Region,SA,SouthÿAsia,DIARCARE,Sex,Female,52.8,62.2
UNICEF Reporting Sub-Region,SA,SouthÿAsia,DIARCARE,Sex,Male,56.4,65
UNICEF Reporting Sub-Region,SA,SouthÿAsia,DIARCARE,WIQ,Poorest,45.7,55.8
UNICEF Reporting Sub-Region,SA,SouthÿAsia,DIARCARE,WIQ,Second,51,60.6
UNICEF Reporting Sub-Region,SA,SouthÿAsia,DIARCARE,WIQ,Middle,54.6,66.9
UNICEF Reporting Sub-Region,SA,SouthÿAsia,DIARCARE,WIQ,Fourth,59,68.5
UNICEF Reporting Sub-Region,SA,SouthÿAsia,DIARCARE,WIQ,Richest,68.6,73.5
UNICEF Reporting Sub-Region,SA,SouthÿAsia,DIARCARE,Mother's Education,None,49.4,59
UNICEF Reporting Sub-Region,SA,SouthÿAsia,DIARCARE,Mother's Education,Primary,56.4,61.4
UNICEF Reporting Sub-Region,SA,SouthÿAsia,MLRACT,National,National,5.6,8.5
UNICEF Reporting Sub-Region,SA,SouthÿAsia,MLRACT,Area,Urban,4.8,13.7
UNICEF Reporting Sub-Region,SA,SouthÿAsia,MLRACT,Area,Rural,6,6.5
UNICEF Reporting Sub-Region,SA,SouthÿAsia,MLRACT,Sex,Female,5.6,9.8
UNICEF Reporting Sub-Region,SA,SouthÿAsia,MLRACT,Sex,Male,5.6,7.3
UNICEF Reporting Sub-Region,SA,SouthÿAsia,MLRACT,WIQ,Poorest,4.5,6
UNICEF Reporting Sub-Region,SA,SouthÿAsia,MLRACT,WIQ,Second,6.4,8.3
UNICEF Reporting Sub-Region,SA,SouthÿAsia,MLRACT,WIQ,Middle,6.7,5.6
UNICEF Reporting Sub-Region,SA,SouthÿAsia,MLRACT,WIQ,Fourth,6.1,11.2
UNICEF Reporting Sub-Region,SA,SouthÿAsia,MLRACT,WIQ,Richest,4.4,13.2
UNICEF Reporting Sub-Region,SA,SouthÿAsia,MLRCARE,National,National,66.4,71.5
UNICEF Reporting Sub-Region,SA,SouthÿAsia,MLRCARE,Area,Urban,74.4,78.2
UNICEF Reporting Sub-Region,SA,SouthÿAsia,MLRCARE,Area,Rural,63.9,69.4
UNICEF Reporting Sub-Region,SA,SouthÿAsia,MLRCARE,Sex,Female,63.8,70.4
UNICEF Reporting Sub-Region,SA,SouthÿAsia,MLRCARE,Sex,Male,68.5,72.6
UNICEF Reporting Sub-Region,SA,SouthÿAsia,MLRCARE,WIQ,Poorest,59,62.3
UNICEF Reporting Sub-Region,SA,SouthÿAsia,MLRCARE,WIQ,Second,62.4,68.3
UNICEF Reporting Sub-Region,SA,SouthÿAsia,MLRCARE,WIQ,Middle,67.6,73.5
UNICEF Reporting Sub-Region,SA,SouthÿAsia,MLRCARE,WIQ,Fourth,70.6,78.3
UNICEF Reporting Sub-Region,SA,SouthÿAsia,MLRCARE,WIQ,Richest,78.5,81.3
UNICEF Reporting Sub-Region,SA,SouthÿAsia,ORS,National,National,33.8,49.8
UNICEF Reporting Sub-Region,SA,SouthÿAsia,ORS,Area,Urban,39.6,55.4
UNICEF Reporting Sub-Region,SA,SouthÿAsia,ORS,Area,Rural,31.6,47.7
UNICEF Reporting Sub-Region,SA,SouthÿAsia,ORS,Sex,Female,33.1,48.9
UNICEF Reporting Sub-Region,SA,SouthÿAsia,ORS,Sex,Male,34.3,50.4
UNICEF Reporting Sub-Region,SA,SouthÿAsia,ORS,WIQ,Poorest,28.8,45.4
UNICEF Reporting Sub-Region,SA,SouthÿAsia,ORS,WIQ,Second,28.9,47.5
UNICEF Reporting Sub-Region,SA,SouthÿAsia,ORS,WIQ,Middle,32.9,49.7
UNICEF Reporting Sub-Region,SA,SouthÿAsia,ORS,WIQ,Fourth,36.4,54.4
UNICEF Reporting Sub-Region,SA,SouthÿAsia,ORS,WIQ,Richest,46.7,57.3
UNICEF Reporting Sub-Region,SA,SouthÿAsia,ORSZINC,National,National,2.3,17.1
UNICEF Reporting Sub-Region,SA,SouthÿAsia,ORSZINC,Area,Urban,3.1,20.2
UNICEF Reporting Sub-Region,SA,SouthÿAsia,ORSZINC,Area,Rural,2,16
UNICEF Reporting Sub-Region,SA,SouthÿAsia,ORSZINC,Sex,Female,2.4,17
UNICEF Reporting Sub-Region,SA,SouthÿAsia,ORSZINC,Sex,Male,2.2,17.2
UNICEF Reporting Sub-Region,SA,SouthÿAsia,ORSZINC,WIQ,Middle,3.2,17.1
UNICEF Reporting Sub-Region,SA,SouthÿAsia,ORSZINC,WIQ,Richest,3.8,21.3
UNICEF Reporting Sub-Region,SA,SouthÿAsia,ORTCF,National,National,38,41
UNICEF Reporting Sub-Region,SA,SouthÿAsia,ORTCF,Area,Urban,42.1,44.4
UNICEF Reporting Sub-Region,SA,SouthÿAsia,ORTCF,Area,Rural,36.1,39.6
UNICEF Reporting Sub-Region,SA,SouthÿAsia,ORTCF,WIQ,Poorest,34.5,37.7
UNICEF Reporting Sub-Region,SA,SouthÿAsia,ORTCF,WIQ,Second,35.1,38.9
UNICEF Reporting Sub-Region,SA,SouthÿAsia,ORTCF,WIQ,Middle,35.2,40.5
UNICEF Reporting Sub-Region,SA,SouthÿAsia,ORTCF,WIQ,Fourth,39.7,44.4
UNICEF Reporting Sub-Region,SA,SouthÿAsia,ORTCF,WIQ,Richest,47.8,46.3
UNICEF Reporting Sub-Region,SA,SouthÿAsia,PNEUCARE,National,National,65.4,75.9
UNICEF Reporting Sub-Region,SA,SouthÿAsia,PNEUCARE,Area,Urban,75.7,83.6
UNICEF Reporting Sub-Region,SA,SouthÿAsia,PNEUCARE,Area,Rural,62.3,73.6
UNICEF Reporting Sub-Region,SA,SouthÿAsia,PNEUCARE,Sex,Female,62.2,73.9
UNICEF Reporting Sub-Region,SA,SouthÿAsia,PNEUCARE,Sex,Male,67.9,77.5
UNICEF Reporting Sub-Region,SA,SouthÿAsia,PNEUCARE,WIQ,Poorest,56.5,65.8
UNICEF Reporting Sub-Region,SA,SouthÿAsia,PNEUCARE,WIQ,Second,62.6,72.8
UNICEF Reporting Sub-Region,SA,SouthÿAsia,PNEUCARE,WIQ,Middle,65.3,77.5
UNICEF Reporting Sub-Region,SA,SouthÿAsia,PNEUCARE,WIQ,Fourth,73,81.8
UNICEF Reporting Sub-Region,SA,SouthÿAsia,PNEUCARE,WIQ,Richest,78.6,87.6
UNICEF Reporting Sub-Region,SA,SouthÿAsia,ZINC,National,National,4.7,23.3
UNICEF Reporting Sub-Region,SA,SouthÿAsia,ZINC,Area,Urban,6.4,26.4
UNICEF Reporting Sub-Region,SA,SouthÿAsia,ZINC,Area,Rural,4.3,22.3
UNICEF Reporting Sub-Region,SA,SouthÿAsia,ZINC,Sex,Female,4.5,22.8
UNICEF Reporting Sub-Region,SA,SouthÿAsia,ZINC,Sex,Male,4.8,23.7
UNICEF Reporting Sub-Region,SA,SouthÿAsia,ZINC,WIQ,Second,5,21.9
UNICEF Reporting Sub-Region,SA,SouthÿAsia,ZINC,WIQ,Middle,5.1,24.1
UNICEF Reporting Sub-Region,SA,SouthÿAsia,ZINC,WIQ,Fourth,4.8,25.3
UNICEF Reporting Sub-Region,SA,SouthÿAsia,ZINC,WIQ,Richest,6,27.9
UNICEF Reporting Sub-Region,SA,SouthÿAsia,ZINC,Mother's Education,None,4.1,20.3
UNICEF Reporting Sub-Region,SA,SouthÿAsia,ZINC,Mother's Education,Primary,4.9,21.4
UNICEF Reporting Sub-Region,SA,SouthÿAsia,ZINC,Mother's Education,Sec & higher,5.6,23.8
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,DIARCARE,National,National,35.2,51.9
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,DIARCARE,Area,Urban,38.6,54.1
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,DIARCARE,Area,Rural,34.9,51.1
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,DIARCARE,Sex,Female,34.3,51.4
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,DIARCARE,Sex,Male,34.6,50.5
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,DIARCARE,WIQ,Poorest,29.4,47.1
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,DIARCARE,WIQ,Second,32.1,49.9
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,DIARCARE,WIQ,Middle,37.4,52.6
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,DIARCARE,WIQ,Fourth,38.9,51.8
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,DIARCARE,WIQ,Richest,44.8,58.2
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,DIARCARE,Mother's Education,None,30.9,38.5
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,DIARCARE,Mother's Education,Primary,37.3,43.1
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,DIARCARE,Mother's Education,Sec & Higher,44.3,43.5
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,IPTP,National,National,7.1,21.5
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,IPTP,Area,Urban,9.1,23.9
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,IPTP,Area,Rural,6.6,19.5
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,IPTP,WIQ,Poorest,5.3,16.5
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,IPTP,WIQ,Second,6.5,17.3
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,IPTP,WIQ,Middle,7,20.1
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,IPTP,WIQ,Fourth,8.9,22.9
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,IPTP,WIQ,Richest,9.8,24.2
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,IPTP,Mother's Education,None,5.4,16.6
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,IPTP,Mother's Education,Primary,7.5,19.6
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,IPTP,Mother's Education,Sec & higher,9.7,23.8
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,ITN,National,National,35.2,53.4
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,ITN,Area,Urban,34.3,49.4
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,ITN,Area,Rural,35.6,52
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,ITN,Sex,Female,31.8,53.4
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,ITN,Sex,Male,31.1,53.2
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,ITN,WIQ,Poorest,26.7,48.4
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,ITN,WIQ,Second,29.2,53.6
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,ITN,WIQ,Middle,30.3,53.2
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,ITN,WIQ,Fourth,32.1,52.7
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,ITN,WIQ,Richest,34.8,49.8
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,ITNOWN,National,National,48.5,66
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,ITNOWN,Area,Urban,44.4,60.7
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,ITNOWN,Area,Rural,51,67.6
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,ITNOWN,WIQ,Poorest,36.4,63.9
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,ITNOWN,WIQ,Second,41,69
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,ITNOWN,WIQ,Middle,42.3,68.3
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,ITNOWN,WIQ,Fourth,44,66.4
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,ITNOWN,WIQ,Richest,47,62.2
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,ITNPREG,National,National,31.4,56.1
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,ITNPREG,Area,Urban,28.3,48.7
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,ITNPREG,Area,Rural,33.5,58
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,ITNPREG,WIQ,Poorest,29.3,55.4
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,ITNPREG,WIQ,Second,31.9,61.7
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,ITNPREG,WIQ,Middle,31.6,58
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,ITNPREG,WIQ,Fourth,32.4,51
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,ITNPREG,WIQ,Richest,31.9,48.3
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,MLRACT,National,National,27.4,53.9
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,MLRACT,Area,Urban,23.8,51.4
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,MLRACT,Area,Rural,22.5,55.7
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,MLRACT,Sex,Female,21.9,53.2
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,MLRACT,Sex,Male,21.8,54.4
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,MLRACT,WIQ,Poorest,21.4,51.6
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,MLRACT,WIQ,Second,21.3,55
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,MLRACT,WIQ,Middle,21.3,51.3
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,MLRACT,WIQ,Fourth,22.3,52.2
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,MLRACT,WIQ,Richest,25.2,51.5
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,MLRDIAG,National,National,14.3,26.4
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,MLRDIAG,Area,Urban,20.7,29.1
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,MLRDIAG,Area,Rural,11.5,27.2
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,MLRDIAG,Sex,Female,14.4,25
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,MLRDIAG,Sex,Male,14.4,24.8
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,MLRDIAG,WIQ,Poorest,9.1,20.9
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,MLRDIAG,WIQ,Second,10.5,24
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,MLRDIAG,WIQ,Middle,14,24.9
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,MLRDIAG,WIQ,Fourth,15.3,29.4
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,MLRDIAG,WIQ,Richest,23.1,32.8
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,ORS,National,National,31.5,37.8
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,ORS,Area,Urban,38.3,43.8
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,ORS,Area,Rural,30.2,35.9
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,ORS,Sex,Female,31.3,36.5
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,ORS,Sex,Male,31.4,37.3
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,ORS,WIQ,Poorest,25.2,33
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,ORS,WIQ,Second,28.3,34.5
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,ORS,WIQ,Middle,33.2,39.6
UNICEF Reporting Region,SSA,Sub-SaharanÿAfrica,ORS,WIQ,Fourth,36.4,41.2
